               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.033615,            0.016294,            0.010852,             0.74268,             0.54151,             0.59842,               0.366,            0.034213,            0.014068,            0.011657,           0.0090298,           0.0090298,           0.0090298
                  51,            0.031497,            0.016782,            0.010129,             0.69056,             0.60554,             0.60635,             0.36135,            0.035636,             0.01377,            0.010206,             0.00901,             0.00901,             0.00901
                  52,            0.032555,            0.015689,           0.0094776,             0.82989,             0.58009,             0.63718,              0.4063,            0.034723,            0.013926,            0.010229,           0.0089902,           0.0089902,           0.0089902
                  53,            0.032193,            0.016448,            0.010502,             0.77638,             0.54953,              0.6194,             0.37434,            0.034685,            0.013873,            0.011984,           0.0089704,           0.0089704,           0.0089704
                  54,            0.032051,            0.016259,            0.010145,             0.79265,             0.55129,             0.62978,             0.38848,            0.032936,            0.013815,            0.010135,           0.0089506,           0.0089506,           0.0089506
                  55,            0.031663,            0.016788,            0.009385,             0.69317,             0.62746,              0.6459,             0.42354,            0.033694,            0.013629,            0.010387,           0.0089308,           0.0089308,           0.0089308
                  56,             0.03242,            0.016561,            0.010569,             0.66261,             0.63556,             0.62977,             0.38549,              0.0355,            0.014001,            0.012177,            0.008911,            0.008911,            0.008911
                  57,             0.03076,            0.016186,           0.0094716,             0.77218,             0.57116,             0.63692,             0.40203,            0.034539,            0.013948,            0.010272,           0.0088912,           0.0088912,           0.0088912
                  58,            0.032162,            0.016799,           0.0097466,             0.77864,             0.57211,             0.63016,             0.38223,            0.033509,            0.013765,             0.01134,           0.0088714,           0.0088714,           0.0088714
                  59,            0.030516,            0.016185,           0.0097332,             0.78174,             0.56696,             0.61578,             0.40351,            0.034362,            0.013355,            0.010436,           0.0088516,           0.0088516,           0.0088516
